"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensg","gene","desc"
"ENSMUSG00000000001",237.374652111195,-0.7083348277709,0.259297129437197,-2.73174959286413,0.006299900250307,0.0192803078895779,"ENSMUSG00000000001","Gnai3","guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
"ENSMUSG00000000028",48.7487639355,0.256459551120652,0.405326714130241,0.632723040895462,0.526914520782818,0.644333591618406,"ENSMUSG00000000028","Cdc45","cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"
"ENSMUSG00000000037",68.8182171749939,0.80836351523749,0.337075499725255,2.39816752002556,0.0164773276056614,0.0426952487004105,"ENSMUSG00000000037","Scml2","Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]"
"ENSMUSG00000000056",275.146640277897,-1.02624451891042,0.231501998814316,-4.43298340475043,9.29380221080336e-06,7.22224721315778e-05,"ENSMUSG00000000056","Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"ENSMUSG00000000058",29.3031659925276,-0.717614606057158,0.632902338472359,-1.13384729749817,0.256858607282394,0.381021902585858,"ENSMUSG00000000058","Cav2","caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
"ENSMUSG00000000078",253.021637372355,0.550330224858765,0.220784635240545,2.4926110653451,0.0126807664485564,0.0343415290854982,"ENSMUSG00000000078","Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"ENSMUSG00000000085",337.346513177204,0.677992263082683,0.325186918179553,2.08493092796657,0.0370755707949958,0.0830458478359849,"ENSMUSG00000000085","Scmh1","sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"
"ENSMUSG00000000088",308.641244794371,-0.831335135501758,0.197386110356989,-4.21172054101589,2.53432957160924e-05,0.000174119728057526,"ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"
"ENSMUSG00000000093",8.20998712984411,1.98456967467244,0.925963849267571,2.14324746721183,0.0320932326206099,0.0737470761776236,"ENSMUSG00000000093","Tbx2","T-box 2 [Source:MGI Symbol;Acc:MGI:98494]"
"ENSMUSG00000000120",12.7564032256547,-0.27616111880485,0.589830608514096,-0.468204116264085,0.639638628828224,0.739910794495495,"ENSMUSG00000000120","Ngfr","nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"
"ENSMUSG00000000126",15.0126646891858,0.408371906225238,0.63799721467398,0.640084152144642,0.522117891485683,0.640313685167988,"ENSMUSG00000000126","Wnt9a","wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"
"ENSMUSG00000000127",497.856939213767,-1.21821709981266,0.290075612088747,-4.19965363872077,2.67323589370238e-05,0.000182279510260691,"ENSMUSG00000000127","Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"ENSMUSG00000000131",839.257608113938,0.173624795145868,0.216842751833256,0.800694483343298,0.42330853703849,0.550410564010588,"ENSMUSG00000000131","Xpo6","exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]"
"ENSMUSG00000000134",112.118899318176,-0.196160065398084,0.357564642025122,-0.548600287453205,0.583279788532985,0.694310075328698,"ENSMUSG00000000134","Tfe3","transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]"
"ENSMUSG00000000142",116.970762683314,0.743289027132026,0.279451622999739,2.65981288336522,0.00781840738671276,0.0230044860602541,"ENSMUSG00000000142","Axin2","axin 2 [Source:MGI Symbol;Acc:MGI:1270862]"
"ENSMUSG00000000148",36.6305615257071,0.665269644327767,0.484439538326888,1.37327693487904,0.169666270202049,0.276218885269578,"ENSMUSG00000000148","Brat1","BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]"
"ENSMUSG00000000149",76.5783666202409,0.179811746774683,0.439969429973459,0.40869145564393,0.682766104959982,0.773219776741871,"ENSMUSG00000000149","Gna12","guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]"
"ENSMUSG00000000167",42.7416196781306,1.12340566199498,0.466469979440812,2.40831288509002,0.0160264393093859,0.0416890094010773,"ENSMUSG00000000167","Pih1d2","PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]"
"ENSMUSG00000000168",330.570578416593,-0.856718685233284,0.194747571184859,-4.39912385053607,1.0868878829719e-05,8.26269183575895e-05,"ENSMUSG00000000168","Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]"
"ENSMUSG00000000171",67.6677188457482,-0.34075091681142,0.444070170930328,-0.767335748081314,0.44288191929316,0.568134265928748,"ENSMUSG00000000171","Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
"ENSMUSG00000000184",565.650539275218,-0.350293979784917,0.191891605194148,-1.8254783966735,0.0679288683310226,0.134275235361381,"ENSMUSG00000000184","Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"ENSMUSG00000000194",231.573097178448,-0.314352556756631,0.248337733544891,-1.26582679268838,0.205575100553767,0.320939232419267,"ENSMUSG00000000194","Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"ENSMUSG00000000197",971.128870130972,-0.252916267843047,0.197406389188668,-1.28119595765123,0.200124845627366,0.314161280902349,"ENSMUSG00000000197","Nalcn","sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]"
"ENSMUSG00000000202",12.3055838447999,-0.113901564671519,0.711736413282457,-0.160033353002436,0.872854800902397,0.913022316972241,"ENSMUSG00000000202","Btbd17","BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]"
"ENSMUSG00000000214",19.8858418796357,0.04926793591636,0.545811934051574,0.0902654061640665,0.928076309778102,0.953068379844744,"ENSMUSG00000000214","Th","tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]"
"ENSMUSG00000000223",437.572225352938,0.326285689057635,0.217004510860468,1.50358943122355,0.132687114096493,0.228802268636351,"ENSMUSG00000000223","Drp2","dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]"
"ENSMUSG00000000247",103.642409388748,-0.0363073687501979,0.305306607230392,-0.118921005606667,0.905337939786388,0.936375732937681,"ENSMUSG00000000247","Lhx2","LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]"
"ENSMUSG00000000253",87.1916030377944,-0.454537170521416,0.309533495882074,-1.46845875024326,0.141979653152114,0.241513064928342,"ENSMUSG00000000253","Gmpr","guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]"
"ENSMUSG00000000266",164.502198889594,-0.818439205896718,0.244698388710762,-3.34468571782925,0.000823758576193097,0.00350212388325748,"ENSMUSG00000000266","Mid2","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
"ENSMUSG00000000275",47.7084151564391,-0.293005571349128,0.418093126542418,-0.700814131464562,0.483419017846126,0.604763784212956,"ENSMUSG00000000275","Trim25","tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]"
"ENSMUSG00000000276",146.421930466774,1.09497506356136,0.238743793530073,4.58640221540851,4.50949461231821e-06,3.82391623090768e-05,"ENSMUSG00000000276","Dgke","diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]"
"ENSMUSG00000000278",132.267465985172,0.00179740166672582,0.287416729487363,0.00625364316799398,0.99501034719011,0.99733025096065,"ENSMUSG00000000278","Scpep1","serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]"
"ENSMUSG00000000282",162.752268030161,1.72170006028095,0.291650566164919,5.90329750742671,3.5630688754119e-09,6.96003209389812e-08,"ENSMUSG00000000282","Mnt","max binding protein [Source:MGI Symbol;Acc:MGI:109150]"
"ENSMUSG00000000295",85.2986600084668,-0.994872659056988,0.307181550318237,-3.23871227951779,0.00120070631953408,0.00483416043712773,"ENSMUSG00000000295","Hddc2","HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]"
"ENSMUSG00000000296",22.1539682659997,-0.889114716192865,0.473472083565974,-1.87786090680672,0.0604001955578218,0.122643292685161,"ENSMUSG00000000296","Tpd52l1","tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]"
"ENSMUSG00000000301",5.22475322182372,0.513782739469367,1.00810618961878,0.509651408512489,0.610295701034119,0.716603912579069,"ENSMUSG00000000301","Pemt","phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]"
